0.5460 	WARNING 	Movie2 stim could not be imported and won't be available
250.0224 	EXP 	New trial (rep=0, index=9): {'RetDur': 0, 'BotBrack': 0, 'StimDur': 2, 'UpBrack': 2345, 'ProbeDurITI': 4, 'ProbeDur': 0, 'ProbeStart': 2, 'TrialDur': 2, 'ITI': 4, 'StimSet': 'QRLFXY', 'RetStart': 2, 'ProbeLet': ' ', 'TrialITIDur': 6, 'Correct': 'none'}
250.0448 	EXP 	window1: recordFrameIntervals = False
250.0708 	EXP 	TopUpperLine: autoDraw = False
250.0708 	EXP 	BotUpperLine: autoDraw = False
250.0708 	EXP 	TopLowerLine: autoDraw = False
250.0708 	EXP 	BotLowerLine: autoDraw = False
250.0708 	EXP 	RestCrossHair: autoDraw = False
250.0708 	EXP 	TopUpperLine: autoDraw = False
250.0708 	EXP 	UpperText: autoDraw = False
250.0708 	EXP 	UpperBrackets: autoDraw = False
250.0708 	EXP 	BotUpperLine: autoDraw = False
